Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Gift Card,SEO Title,SEO Description,Status
dog-puppy-dry-salmon,Puppy Dry — Salmon & Potato (2kg),<p>DHA and smaller kibble for brain development and growing jaws up to 12 months.</p>,Homely Pets,Dry food,Dry food,"dog, puppy, Dry-food",TRUE,Title,Default Title,dog-puppy-dry-salmon,0,shopify,100,deny,manual,27.9,,TRUE,TRUE,labels/dog-puppy-dry-salmon.png,1,FALSE,Puppy Dry,DHA and smaller kibble for brain development and growing jaws up to 12 months.,active
dog-puppy-dry-chicken,Puppy Dry — Chicken & Rice (2kg),<p>High calcium and controlled phosphorus for steady bone growth.</p>,Homely Pets,Dry food,Dry food,"dog, puppy, Dry-food",TRUE,Title,Default Title,dog-puppy-dry-chicken,0,shopify,100,deny,manual,26.5,,TRUE,TRUE,labels/dog-puppy-dry-chicken.png,1,FALSE,Puppy Dry,High calcium and controlled phosphorus for steady bone growth.,active
dog-puppy-wet-pate,Puppy Wet — Chicken Paté (10 pack),<p>Soft paté for weaning and young pups. Easy to digest.</p>,Homely Pets,Wet food,Wet food,"dog, puppy, Wet-food",TRUE,Title,Default Title,dog-puppy-wet-pate,0,shopify,100,deny,manual,15.9,,TRUE,TRUE,labels/dog-puppy-wet-pate.png,1,FALSE,Puppy Wet,Soft paté for weaning and young pups. Easy to digest.,active
dog-puppy-wet-beef,Puppy Wet — Beef & Carrot Stew (8 pack),<p>Hearty stew trays with extra calories for fast-growing breeds.</p>,Homely Pets,Wet food,Wet food,"dog, puppy, Wet-food",TRUE,Title,Default Title,dog-puppy-wet-beef,0,shopify,100,deny,manual,17.5,,TRUE,TRUE,labels/dog-puppy-wet-beef.png,1,FALSE,Puppy Wet,Hearty stew trays with extra calories for fast-growing breeds.,active
dog-adult-dry-chicken-2,Adult Dry — Chicken & Sweet Potato (2kg),<p>Complete grain-free kibble. Single-source chicken for digestion and coat health.</p>,Homely Pets,Dry food,Dry food,"dog, adult, Dry-food",TRUE,Title,Default Title,dog-adult-dry-chicken-2,0,shopify,100,deny,manual,24.9,,TRUE,TRUE,labels/dog-adult-dry-chicken-2.png,1,FALSE,Adult Dry,Complete grain-free kibble. Single-source chicken for digestion and coat health.,active
dog-adult-dry-chicken-6,Adult Dry — Chicken & Sweet Potato (6kg),<p>Same trusted adult recipe — better per-bowl value for multi-dog homes.</p>,Homely Pets,Dry food,Dry food,"dog, adult, Dry-food",TRUE,Title,Default Title,dog-adult-dry-chicken-6,0,shopify,100,deny,manual,54.9,,TRUE,TRUE,labels/dog-adult-dry-chicken-6.png,1,FALSE,Adult Dry,Same trusted adult recipe — better per-bowl value for multi-dog homes.,active
dog-adult-dry-lamb,Adult Dry — Lamb & Brown Rice (2kg),<p>Gentle on sensitive stomachs. Lamb first with omega-rich oils.</p>,Homely Pets,Dry food,Dry food,"dog, adult, Dry-food",TRUE,Title,Default Title,dog-adult-dry-lamb,0,shopify,100,deny,manual,26.5,,TRUE,TRUE,labels/dog-adult-dry-lamb.png,1,FALSE,Adult Dry,Gentle on sensitive stomachs. Lamb first with omega-rich oils.,active
dog-adult-dry-beef,Adult Dry — Beef & Barley (2kg),<p>Hearty beef protein with barley for steady daily energy.</p>,Homely Pets,Dry food,Dry food,"dog, adult, Dry-food",TRUE,Title,Default Title,dog-adult-dry-beef,0,shopify,100,deny,manual,25.5,,TRUE,TRUE,labels/dog-adult-dry-beef.png,1,FALSE,Adult Dry,Hearty beef protein with barley for steady daily energy.,active
dog-adult-dry-duck,Adult Dry — Grain-Free Duck & Parsnip (2kg),<p>Novel protein for dogs with chicken sensitivities.</p>,Homely Pets,Dry food,Dry food,"dog, adult, Dry-food",TRUE,Title,Default Title,dog-adult-dry-duck,0,shopify,100,deny,manual,31.9,,TRUE,TRUE,labels/dog-adult-dry-duck.png,1,FALSE,Adult Dry,Novel protein for dogs with chicken sensitivities.,active
dog-adult-dry-large,Adult Dry — Large Breed Turkey & Oats (3kg),<p>Controlled calories and glucosamine for bigger adult dogs.</p>,Homely Pets,Dry food,Dry food,"dog, adult, Dry-food",TRUE,Title,Default Title,dog-adult-dry-large,0,shopify,100,deny,manual,29.9,,TRUE,TRUE,labels/dog-adult-dry-large.png,1,FALSE,Adult Dry,Controlled calories and glucosamine for bigger adult dogs.,active
